Statistics	1	2	3	Total
N	327	327	346	1000
Adverse Event Type 1				
Events (\%)	31 (9.5)	10 (3.1)	14 (4)	55 (5.5)
No Events (\%)	293 (89.6)	310 (94.8)	326 (94.2)	929 (92.9)
Missing (\%)	3 (0.9)	7 (2.1)	6 (1.7)	16 (1.6)
Adverse Event Type 2				
Events (\%)	177 (54.1)	166 (50.8)	161 (46.5)	504 (50.4)
No Events (\%)	150 (45.9)	155 (47.4)	177 (51.2)	482 (48.2)
Missing (\%)	0 (0)	6 (1.8)	8 (2.3)	14 (1.4)
Adverse Event Type 3				
Events (\%)	99 (30.3)	98 (30)	115 (33.2)	312 (31.2)
No Events (\%)	227 (69.4)	227 (69.4)	227 (65.6)	681 (68.1)
Missing (\%)	1 (0.3)	2 (0.6)	4 (1.2)	7 (0.7)
